Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1
aluminium,007429-90-5,,"Al;aluminum;アルミニウム（資源）;Al reserves;aluminium reserves,Al;aluminum;アルミニウム（資源）;Al reserves;aluminium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,ce0b308c-61c5-4838-8517-6d44aca17c46,,
arsenic,007440-38-2,,"As;ヒ素;As;arsenic,As;ヒ素;As;arsenic",kg,Geological,,,Resources/ground/Non-renewable element resources,7844b25b-e704-4bed-8f7a-68b614d807ee,,
boron,007440-42-8,,"B;ホウ素（資源）;B reserves;boron reserves,B;ホウ素（資源）;B reserves;boron reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,046baeee-61d6-499e-8ca4-8d8b4a33e0a2,,
barium,007440-39-3,,"Ba;バリウム（資源）;Ba reserves;barium reserves,Ba;バリウム（資源）;Ba reserves;barium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,19e04b1f-7439-4c33-be27-db30fa150313,,
beryllium,007440-41-7,,"Be;ベリリウム（資源）;Be reserves;beryllium reserves,Be;ベリリウム（資源）;Be reserves;beryllium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,d8d2e420-497f-4a50-814d-09805bf036cf,,
bromine,007726-95-6,,"Br2;臭素（資源）;Br2 reserves;bromine reserves,Br2;臭素（資源）;Br2 reserves;bromine reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,e4d8b53f-41cc-4787-aecc-4371667b4de5,,
chromium,007440-47-3,,"Cr;Cr;chromium;chromium reserves,Cr;Cr;chromium;chromium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,d54b9c80-200d-4df4-96e6-ceccff70011e,,
cesium,007440-46-2,,"Cs;セシウム（資源）;Cs reserves;cesium reserves,Cs;セシウム（資源）;Cs reserves;cesium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,72ec185c-49f6-4b09-a53a-bacb6835d343,,
dysprosium,007429-91-6,,"Dy;ジスプロシウム（資源）;Dy reserves;dysprosium reserves,Dy;ジスプロシウム（資源）;Dy reserves;dysprosium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,1669f157-549b-4db7-9fc9-61d025a80efc,,
gallium,007440-55-3,,"Ga;ガリウム（資源）;Ga reserves;gallium reserves,Ga;ガリウム（資源）;Ga reserves;gallium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,7384be79-13ca-4e63-8091-7cd27100d81d,,
germanium,007440-56-4,,"Ge;ゲルマニウム（資源）;Ge reserves;germanium reserves,Ge;ゲルマニウム（資源）;Ge reserves;germanium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,969089ae-c6a7-4e9b-a42b-633d4b09c0fa,,
lithium,007439-93-2,,"Li;リチウム（資源）;Li reserves;lithium reserves,Li;リチウム（資源）;Li reserves;lithium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,ef47b617-9aa2-4b3a-a2f4-84e51cd27542,,
lutetium,007439-94-3,,"Lu;ルテチウム（資源）;Lu reserves;lutetium reserves,Lu;ルテチウム（資源）;Lu reserves;lutetium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,5e0f86ba-7a8f-4115-9521-3b7ba95ed90b,,
molybdenum,007439-98-7,,"Mo;モリブデン（資源）;Mo reserves;molybdenum reserves,Mo;モリブデン（資源）;Mo reserves;molybdenum reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,1444ffb9-d66c-483f-9fe5-b2147ad007c3,,
sodium,007440-23-5,,"Na;ナトリウム（資源）;Na reserves;sodium reserves,Na;ナトリウム（資源）;Na reserves;sodium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,ea38f710-24b2-4fab-97d0-371ff3223ca1,,
neodymium,007440-00-8,,"Nd;ネオジム（資源）;Nd reserves;neodymium reserves,Nd;ネオジム（資源）;Nd reserves;neodymium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,956236fb-ef54-4e68-b259-b411093e80fb,,
nickel,007440-02-0,,"Ni;Ni;nickel;Ni,Ni;Ni;nickel;Ni",kg,Geological,,,Resources/ground/Non-renewable element resources,5a74ef72-49d8-42fe-8b7a-264dd43679df,,
osmium,007440-04-2,,"Os,Os",kg,Geological,,,Resources/ground/Non-renewable element resources,9995d561-5305-43f0-9f00-8c6a603aec4a,,
protactinium,007440-13-3,,"Pa;プロタクチニウム（資源）;Pa reserves;protactinium reserves,Pa;プロタクチニウム（資源）;Pa reserves;protactinium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,5501d336-ac25-4245-882a-d28dd7f8901e,,
palladium,007440-05-3,,"Pd,Pd",kg,Geological,,,Resources/ground/Non-renewable element resources,bf5e86c2-048d-4c97-9892-1863396c371d,,
platinum,007440-06-4,,"Pt;プラチナ,Pt",kg,Geological,,,Resources/ground/Non-renewable element resources,778a0da7-8c14-455d-bd1f-65ff6caa5929,,
radium,007440-14-4,,"Ra;ラジウム（資源）;Ra reserves;radium reserves,Ra;ラジウム（資源）;Ra reserves;radium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,86ecdf99-6874-410b-bd2a-bf00801db599,,
antimony,007440-36-0,,"Sb;アンチモン（資源）;Sb reserves;antimony reserves,Sb;アンチモン（資源）;Sb reserves;antimony reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,a35e4aa8-a39c-44a9-8c8a-e87e60533459,,
scandium,007440-20-2,,"Sc;スカンジウム（資源）;Sc reserves;scandium reserves,Sc;スカンジウム（資源）;Sc reserves;scandium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,85b7ae70-9426-4965-a7fe-f275a1b2eba3,,
silicon,007440-21-3,,"Si;ケイ素（資源）;Si reserves;silicon reserves,Si;ケイ素（資源）;Si reserves;silicon reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,88f90b2c-2975-4f4b-b54d-897b3257b3c8,,
tin,007440-31-5,,"Sn;錫（資源）;Sn reserves;tin reserves,Sn;錫（資源）;Sn reserves;tin reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,b36a012c-82eb-4094-bb36-88bb326ae0cc,,
terbium,007440-27-9,,"Tb;テルビウム（資源）;Tb reserves;terbium reserves,Tb;テルビウム（資源）;Tb reserves;terbium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,ff73aebd-cfdc-482c-823f-7139c6c386b7,,
thorium,007440-29-1,,"Th;トリウム（資源）;Th reserves;thorium reserves,Th;トリウム（資源）;Th reserves;thorium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,3624ea9d-4d59-44a0-a556-08c3c51538a3,,
thallium,007440-28-0,,"Tl;タリウム（資源）;Tl reserves;thallium reserves,Tl;タリウム（資源）;Tl reserves;thallium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,fa1996a5-0272-492d-b75b-ec406ac4145a,,
vanadium,007440-62-2,,"V;バナジウム（資源）;V reserves;vanadium reserves,V;バナジウム（資源）;V reserves;vanadium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,68bf2d97-bf8e-4346-90e3-360d8dfb5a17,,
tungsten,007440-33-7,,"W;タングステン（資源）;W reserves;tungsten reserves,W;タングステン（資源）;W reserves;tungsten reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,95f80b11-c32f-430a-9c76-877710e2de3f,,
yttrium,007440-65-5,,"Y;イットリウム（資源）;Y reserves;yttrium reserves,Y;イットリウム（資源）;Y reserves;yttrium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,3685e3b5-17f2-43c0-9d0e-93d776c60837,,
zirconium,007440-67-7,,"Zr;ジルコニウム（資源）;Zr reserves;zirconium reserves,Zr;ジルコニウム（資源）;Zr reserves;zirconium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,6f34968b-8ba5-48a7-a5e3-aed84b9a378f,,
"metallurgical coal, 29.0MJ/kg",,,,kg,Geological,,,Resources/ground/Non-renewable energy resources,8d74c908-46bc-4b98-bc23-4e607e39d1db,,
"hard coal, 25.7MJ/kg",,,,kg,Geological,,,Resources/ground/Non-renewable energy resources,7719ef28-cd4f-4bc1-8898-4137f419ea65,,
"brown coal, 17.2MJ/kg",,,",lignite",kg,Geological,,,Resources/ground/Non-renewable energy resources,55617aae-0ade-4bc5-9158-ba340ccbded8,,
peat,,,"ピート,ピート",MJ,Geological,,,Resources/ground/Non-renewable energy resources,6cd464b1-0cf1-4f28-9d81-286d27f06356,,
"natural gas, 54.6MJ/kg",,,,kg,Geological,,,Resources/ground/Non-renewable energy resources,eccec726-4ce1-43b2-a5ad-cef9080b1241,,
"Natural Gas Liquids, 46.5MJ/kg",,,"NGL,NGL",kg,Geological,,,Resources/ground/Non-renewable energy resources,d7cd8bff-4bcb-4648-87fd-43581cd38b56,,
geothermal energy,,,,MJ,Geological,,,Resources/ground/Renewable energy resources,5d2ff10f-34ba-4f8d-a73f-4f2fe13b9c3e,,
asbestos (white),012001-29-5,,"Mg3Si2O5(OH)4;Chrysotile,Mg3Si2O5(OH)4;Chrysotile",kg,Geological,,,Resources/ground/Non-renewable material resources,4b2e7234-a189-4b4c-ad8e-93d215489277,,
granite,,,,kg,Geological,,,Resources/ground/Non-renewable material resources,4d1d95fe-641e-4ee2-96a7-4881b9ea80f5,,
"rock, except limestone",,,"岩石;rock (except limestone);rock,rock (except limestone);rock",kg,Geological,,,Resources/ground/Non-renewable material resources,567022ed-68ed-4fef-8e49-62107f886732,,
quartz sand,014808-60-7,,"珪砂;けい砂;SiO2;Silicon dioxide,SiO2;Silicon dioxide",kg,Geological,,,Resources/ground/Non-renewable material resources,b1bd620b-8069-4553-b142-c441fef9c99b,,
diatomite,068855-54-9,,"けいそう岩;けいそう土;SiO2;Diatomaceous silica,SiO2;Diatomaceous silica",kg,Geological,,,Resources/ground/Non-renewable material resources,fe848702-6f57-44fc-8402-a7bfc2ff92c9,,
basalt,,,,kg,Geological,,,Resources/ground/Non-renewable material resources,382b938e-de86-4277-85bb-e602afa2febd,,
colemanite,001318-33-8,,"Ca2B6O11.5H2O,Ca2B6O11.5H2O",kg,Geological,,,Resources/ground/Non-renewable material resources,37809ea1-b879-4570-b7ca-4ebb7cb9da72,,
natural gypsum,007778-18-9,,"CaSO4 .2H2O;Calcium sulphate; Calcium sulfate,CaSO4 .2H2O;Calcium sulphate; Calcium sulfate",kg,Geological,,,Resources/ground/Non-renewable material resources,aedf4bd1-9268-469f-acb3-1946b74c24e0,,
feldspar,012168-80-8,,"Na-K-(AlSi3O8),Na-K-(AlSi3O8)",kg,Geological,,,Resources/ground/Non-renewable material resources,90aaebec-d001-4401-a558-117f5637fd7b,,
soil,,,,kg,Geological,,,Resources/ground/Non-renewable material resources,1e48279b-b9e9-4f10-b325-bd5cb2f23c27,,
clay,070694-09-6,,,kg,Geological,,,Resources/ground/Non-renewable material resources,5722d97e-a89e-4350-ba6d-0894a9222a26,,
perlite,093763-70-3,,,kg,Geological,,,Resources/ground/Non-renewable material resources,49d0defb-128b-417f-9bdd-91eef6395148,,
borax,012447-40-4,,"Na2B4O7.10H2O,Na2B4O7.10H2O",kg,Geological,,,Resources/ground/Non-renewable material resources,d40501fe-9a8a-4968-b71b-93ddf742241e,,
fluorspar,014542-23-5,,"CaF2,CaF2",kg,Geological,,,Resources/ground/Non-renewable material resources,7616f260-343b-42e1-9058-f36a14d68ef9,,
magnesite,000546-93-0,,"MgCO3;Magnesium Carbonate,MgCO3;Magnesium Carbonate",kg,Geological,,,Resources/ground/Non-renewable material resources,c2dfd91e-6a9a-438c-a688-b3376c4c40af,,
silica stone,,,"けい石;ケイ石,",kg,Geological,,,Resources/ground/Non-renewable material resources,f4e862f5-9c0d-4267-bc12-df1de6e8c47d,,
marble,,,,kg,Geological,,,Resources/ground/Non-renewable element resources,8e64309e-882a-4956-92d8-da1d0c514656,,
pit sand,,,"山砂,",kg,Geological,,,Resources/ground/Non-renewable material resources,11327ff6-fbb3-4693-a386-d01f5ed9861a,,
sand (sea and river),,,"海砂;川砂,",kg,Geological,,,Resources/ground/Non-renewable material resources,048445c3-dfc2-42a5-835c-155fc1bee381,,
gold ore,,,,kg,Geological,,,Resources/ground/Non-renewable material resources,ba64fea6-9069-4721-a278-a9ad29fd90a4,,
peridotite,,,,kg,Geological,,,Resources/ground/Non-renewable element resources,567486b4-4011-422a-b1da-4160332bc997,,
"anthracite, 26.9MJ/kg",,,,kg,Geological,,,Resources/ground/Non-renewable energy resources,62cb7413-a4bf-4f66-ac6d-601fefa87635,,
cryolite,,,"ヘキサフルオロアルミン酸ナトリウム;Na3AlF6;Greenland spar;ice stone,Na3AlF6;Greenland spar;ice stone",kg,Geological,,,Resources/ground/Non-renewable material resources,3b30b811-bb1e-4496-be52-860b4b4b138b,,
acid clay,,,"acid earth,",kg,Geological,,,Resources/ground/Non-renewable material resources,ce2937ca-c837-4b75-a336-473a724b0360,,
diamond,,,,kg,Geological,,,Resources/ground/Non-renewable material resources,a88efa5f-859f-4896-84f4-2bad8fe3110d,,
Mineral resources from the ground of the other,,,,kg,Geological,,,Resources/ground/Non-renewable material resources,0C2B12B0-01F6-4657-8270-F0C606213660,,
ore (not specific),,,,kg,Geological,,,Resources/ground/Non-renewable material resources,a63a36d1-56de-4759-8779-d22155f2affb,,
"wood, Japan, artificial forest, reforestation",,,人工林⇒人工林,kg,Biological,,,Resources/ground/Renewable material resources,CCDB1EC1-6AA3-4A1C-8445-864556DB93B6,,
"wood, international",,,,kg,Biological,,,Resources/ground/Renewable material resources,19CD6C59-8531-417D-B95B-59B3FC3B4CCC,,
air,,,,kg,Geological?,,,Resources/air/Renewable material resources,9b70be9f-6e6e-41c0-8212-186087bbcaec,,
argon,007440-37-1,,"Ar;アルゴン（資源）;Ar reserves;argon reserves,Ar;アルゴン（資源）;Ar reserves;argon reserves",kg,Geological?,,,Resources/air/Renewable element resources,de0e6e15-99f2-4573-af65-2a97c94e2522,,
helium,007440-59-7,,"He;ヘリウム（資源）;He reserves;helium reserves,He;ヘリウム（資源）;He reserves;helium reserves",kg,Geological?,,,Resources/air/Renewable element resources,90340c7a-5cb2-4102-952f-78811d06ec3f,,
krypton,007439-90-9,,"Kr;クリプトン（資源）;Kr reserves;krypton reserves,Kr;クリプトン（資源）;Kr reserves;krypton reserves",kg,Geological?,,,Resources/air/Renewable element resources,b89a8d32-51bf-412a-a7b9-c99c914a0473,,
primary energy from wind power,,,,MJ,Energy,,,Resources/air/Renewable energy resources,883514e4-5597-46f0-93d8-ac1ac777ba71,,
bromine,007726-95-6,,"Br2;臭素（資源）;Br2 reserves;bromine reserves,Br2;臭素（資源）;Br2 reserves;bromine reserves",kg,Geological?,,,Resources/water/Non-renewable element resources,1432edcb-d76a-48bd-92ca-ac5b274a9377,,
surface water,007732-18-5,,"H2O,H2O",m3,Water,,,Resources/water/use,07277E67-58D6-4385-9899-D2E940361EAF,,
surface water,007732-18-5,,"H2O,H2O",m3,Water,,,Resources/water/consumption,3A4F2ECE-EE3F-41FF-AD23-B529F2A12A98,,
sea water,007732-18-5,,"H2O,H2O",m3,Water,,,Resources/water/withdrawal,FCEB0261-7E4F-4F18-A983-2A37162234E1,,
sea water,007732-18-5,,"H2O,H2O",m3,Water,,,Resources/water/use,614EE91B-B978-432C-9946-D8D5AB44D9E1,,
sea water,007732-18-5,,"H2O,H2O",m3,Water,,,Resources/water/consumption,289b37c3-3395-4860-9f1a-cc2b2751f18e,,
ground water,007732-18-5,,"H2O,H2O",m3,Water,,,Resources/water/withdrawal,D54E57F9-E803-4659-A4A6-D85A47CEEE04,,
ground water,007732-18-5,,"H2O,H2O",m3,Water,,,Resources/water/use,7BD77C72-F89C-42AF-85F4-15E963C334CC,,
ground water,007732-18-5,,"H2O,H2O",m3,Water,,,Resources/water/consumption,4A5C2D04-E83F-4469-A3AE-DEFA75CB523B,,
brine,007732-18-5,,,m3,Water,,,Resources/water/withdrawal,BECF4FB8-7AC9-46DA-AFD6-A06DC89C010A,,
brine,007732-18-5,,"H2O,H3O",m3,Water,,,Resources/water/use,C8A2EA77-67F4-4ADE-9F0B-D07FC616DD0A,,
brine,007732-18-5,,"H2O,H3O",m3,Water,,,Resources/water/consumption,7f6d054d-21ee-40f9-ad3c-c65669b1539e,,
rain water,007732-18-5,,"雨水,rainwater",m3,Water,,,Resources/water/withdrawal,C833CB2F-FF9A-4AFD-8473-D3BFC0CF23A3,,
rain water,007732-18-5,,"雨水,rainwater",m3,Water,,,Resources/water/use,8B6EE852-32C8-42E4-B8CB-AB82F9F857D7,,
rain water,007732-18-5,,"雨水,rainwater",m3,Water,,,Resources/water/consumption,19C19882-76D4-442E-961A-727E76C8B63E,,
primary energy from waves,,,,MJ,Energy,,,Resources/water/Renewable energy resources,d78023f0-9f5d-492d-9799-9d8683265a7c,,
CFC-10,000056-23-5,,"CCl4;Tetrachloromethane;テトラクロロメタン;CCl4;パークロロメタン;carbon tetrachloride;tetrachloromethane;CCl4;perchloromethane,CCl4;Tetrachloromethane;テトラクロロメタン;CCl4;パークロロメタン;carbon tetrachloride;tetrachloromethane;CCl4;perchloromethane",kg,Element or Compound,,,Emissions/air/unspecified,c683e38d-cb4c-4717-b892-01e3e4274992,,
methane,000074-82-8,,"CH4;メタン;メチルヒドリド;CH4;methane;methyl hydride,CH4;メタン;メチルヒドリド;CH4;methane;methyl hydride",kg,Element or Compound,,,Emissions/air/unspecified,36f67b9f-b6ab-4779-8912-d896b1271866,,
methane (biogenic),000074-82-8,,"CH4;CH4 (biogenic);メタン;メチルヒドリド;CH4;methane;methyl hydride,CH4;CH4 (biogenic);メタン;メチルヒドリド;CH4;methane;methyl hydride",kg,Element or Compound,,,Emissions/air/unspecified,f3a17107-fed0-4d8a-a3f0-1678db071e5b,,
