Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1,,
arsenic,007440-38-2,,"As;ヒ素;As;arsenic,As;ヒ素;As;arsenic",kg,,,,Emissions/air/unspecified,fa168c85-9d4a-452d-9a46-ae1e7ac4fc58,,,7440-38-2,
cadmium,007440-43-9,,"Cd;カドミウム;Cd;cadmium,Cd;カドミウム;Cd;cadmium",kg,,,,Emissions/air/unspecified,c6a355af-39eb-4abe-a8d3-452801dec91e,,,72172-64-6; 81271-94-5; 7440-43-9,
methane,000074-82-8,,"CH4;メタン;メチルヒドリド;CH4;methane;methyl hydride,CH4;メタン;メチルヒドリド;CH4;methane;methyl hydride",kg,Element or Compound,,,Emissions/air/unspecified,f6ef4ccc-68b5-4b8a-b649-3374b1bfd368,,,308068-56-6; 1034343-98-0; 8006-14-2; 74-82-8; 150036-83-2; 14493-06-2,
methane (biogenic),000074-82-8,,"CH4;CH4 (biogenic);メタン;メチルヒドリド;CH4;methane;methyl hydride,CH4;CH4 (biogenic);メタン;メチルヒドリド;CH4;methane;methyl hydride",kg,Element or Compound,,,Emissions/air/unspecified,e2f4c1c3-b65a-44b3-b21f-e147c82cba7a,,,,
methane (fossil),000074-82-8,,"CH4;CH4 (fossil);メタン;メチルヒドリド;CH4;methane;methyl hydride,CH4;CH4 (fossil);メタン;メチルヒドリド;CH4;methane;methyl hydride",kg,Element or Compound,,,Emissions/air/unspecified,2effeb07-affd-4ee8-a632-02e20b476ea6,,,,
chlorine,007782-50-5,,"Cl2;塩素（資源）;Cl2 reserves;chlorine reserves,Cl2;塩素（資源）;Cl2 reserves;chlorine reserves",kg,Element or Compound,,,Emissions/air/unspecified,d78c08af-d0d0-4ebc-b571-7beb657f9479,,,7782-50-5,
carbon monoxide,000630-08-0,,"CO;一酸化炭素;CO;carbon monoxide,CO;一酸化炭素;CO;carbon monoxide",kg,Element or Compound,,,Emissions/air/unspecified,35e26b00-3ba1-42c3-99b7-94311121505b,,,630-08-0,
carbon dioxide,,,"CO2;二酸化炭素;CO2;carbon dioxide,CO2;二酸化炭素;CO2;carbon dioxide",kg,Element or Compound,,,Emissions/air/unspecified,d8c9f69c-923e-4efb-8b6d-c2eb4b8089a1,,,2684-00-6; 18983-82-9; 124-38-9,
carbon dioxide (biogenic),,,"CO2;CO2 (biogenic);二酸化炭素;CO2;carbon dioxide,CO2;CO2 (biogenic);二酸化炭素;CO2;carbon dioxide",kg,Element or Compound,,,Emissions/air/unspecified,ba5ecef1-096f-4e4c-8395-4475240efc19,,,,
carbon dioxide (fossil),,,"CO2;CO2 (fossil);二酸化炭素;CO2;carbon dioxide,CO2;CO2 (fossil);二酸化炭素;CO2;carbon dioxide",kg,Element or Compound,,,Emissions/air/unspecified,f3f4f316-49ac-4cd9-9de9-4f3276974f5f,,,,
chromium,007440-47-3,,"Cr;Cr;chromium;chromium reserves,Cr;Cr;chromium;chromium reserves",kg,Element or Compound,,,Emissions/air/unspecified,490cc358-9703-49ef-962a-566264b9c287,,,19498-56-7; 7440-47-3,
HCFC-141b,001717-00-6,,"C2Cl2H3F;1,1-dichloro-1-fluoroethane;1,1-ジクロロ-1-フルオロエタン;HCFC-141b;1,1-dichloro-1-fluoroethane,C2Cl2H3F;1,1-dichloro-1-fluoroethane;1,1-ジクロロ-1-フルオロエタン;HCFC-141b;1,1-dichloro-1-fluoroethane",kg,Element or Compound,,,Emissions/air/unspecified,e8e0ccae-d0df-4cbe-973b-7b4a16eba3d6,,,1717-00-6,
hydrogen chloride,007647-01-0,,"HCl;HCl;塩酸;hydrogen chloride;HCl;hydrochloric acid,HCl;HCl;塩酸;hydrogen chloride;HCl;hydrochloric acid",kg,Element or Compound,,,Emissions/air/unspecified,2e6a3c3b-417b-467b-aa16-04da39e510ab,,,185912-82-7; 124760-64-1; 2647-01-0; 7698-05-7; 7647-01-0,
HFC-134a,000811-97-2,,"C2H2F4;1,1,1,2-tetrafluoroethane;1,1,1,2-テトラフルオロエタン;HFC-134a;1,1,1,2-tetrafluoroethane,C2H2F4;1,1,1,2-tetrafluoroethane;1,1,1,2-テトラフルオロエタン;HFC-134a;1,1,1,2-tetrafluoroethane",kg,Element or Compound,,,Emissions/air/unspecified,6ce87c66-5cf3-4668-a314-78666639fe16,,,29759-38-4; 811-97-2,
mercury,007439-97-6,,"Hg;Hg;mercury,Hg;Hg;mercury",kg,Element or Compound,,,Emissions/air/unspecified,a16ec95a-2a77-465e-8275-58f5e1fac5c9,,,7439-97-6,
nitrous oxide,010024-97-2,,"N2O;Laughing gas; Dinitrogen monoxide;亜酸化窒素;一酸化二窒素;N2O;nitrous oxide;dinitrogen monoxide,N2O;Laughing gas; Dinitrogen monoxide;亜酸化窒素;一酸化二窒素;N2O;nitrous oxide;dinitrogen monoxide",kg,,,,Emissions/air/unspecified,ce78e79d-9f85-4ffb-9de3-44943a9a9641,,,10024-97-2,
nickel,007440-02-0,,"Ni;Ni;nickel;Ni,Ni;Ni;nickel;Ni",kg,Element or Compound,,,Emissions/air/unspecified,5472852c-7480-4aca-898b-f7b571a4b442,,,21595-53-9; 7440-02-0,
non-methane volatile organic compounds,,,"NMVOC,NMVOC",kg,Groups of Chemicals ,,,Emissions/air/unspecified,0ba33f03-38f5-4915-88e4-46bc301aaa63,,,,
NOx,,,"窒素酸化物;NOx;nitrogen oxides,窒素酸化物;NOx;nitrogen oxides",kg,,,,Emissions/air/urban air close to ground,667db08e-50e5-4343-b331-78e290b2b80d,,,,
NOx,,,,kg,Groups of Chemicals ,,,Emissions/air/urban high stacks,4e6321b4-0c99-4ac0-9c39-651fa4415f6c,,,,
NOx,,,,kg,Groups of Chemicals ,,,Emissions/air/non-urban,1cba6ae4-66bb-4b66-aea5-d373e9f443c3,,,,
lead,007439-92-1,,"Pb;鉛;Pb;lead,Pb;鉛;Pb;lead",kg,,,,Emissions/air/unspecified,3ffc6dd2-4df4-4b7d-8c9a-b00a035968f8,,,14452-81-4; 54076-28-7; 7439-92-1,
Particulates (PM2.5),,,,kg,,,,Emissions/air/urban air close to ground,a1560406-241d-42cb-a1ba-5e9289a21903,,,,
Particulates (PM2.5),,,,kg,Groups of Chemicals ,,,Emissions/air/urban high stacks,2a2472f4-632e-4e60-9fb2-a80b08b24c56,,,,
Particulates (PM2.5),,,,kg,Groups of Chemicals ,,,Emissions/air/non-urban,f9e53cbd-2a3c-454f-abf2-d3f69d1420f7,,,,
sulfur hexafluoride,002551-62-4,,"SF6;Sulphur hexafluoride;六フッ化硫黄;SF6;sulphur hexafluoride,SF6;Sulphur hexafluoride;六フッ化硫黄;SF6;sulphur hexafluoride",kg,Element or Compound,,,Emissions/air/unspecified,9b2e5cf0-8528-4d73-90ea-eaee8a1f94f9,,,2551-62-4,
sulfur dioxide,007446-09-5,,,kg,,,,Emissions/air/urban air close to ground,96f69ebb-ce37-49ba-b6ea-b6a87d818838,,,12624-32-7; 67015-63-8; 7446-09-5,
sulfur dioxide,007446-09-5,,,kg,Element or Compound,,,Emissions/air/urban high stacks,27a879cd-5772-421c-95df-353aba04e654,,,12624-32-7; 67015-63-8; 7446-09-5,
sulfur dioxide,007446-09-5,,,kg,Element or Compound,,,Emissions/air/non-urban,bd53ceb0-5a27-4171-af0e-c3147d3c86cf,,,12624-32-7; 67015-63-8; 7446-09-5,
SOx,,,,kg,,,,Emissions/air/urban high stacks,aedea5ce-4f0b-4bc8-8227-ef8edab9f700,,,,
SOx,,,,kg,Groups of Chemicals ,,,Emissions/air/non-urban,784cbcfc-a0e7-4540-8c9d-55b281dff448,,,,
vanadium,007440-62-2,,"V;バナジウム（資源）;V reserves;vanadium reserves,V;バナジウム（資源）;V reserves;vanadium reserves",kg,Element or Compound,,,Emissions/air/unspecified,b50ce6cf-b850-47b1-8e2e-f1961765d501,,,22541-77-1; 22537-31-1; 7440-62-2,
volatile organic compound,,,"VOC,VOC",kg,Groups of Chemicals ,,,Emissions/air/unspecified,685b32a2-e971-417b-8827-fb47ac7bc0d8,,,,
zinc,007440-66-6,,"Zn;亜鉛（資源）;Zn reserves;zinc reserves,Zn;亜鉛（資源）;Zn reserves;zinc reserves",kg,Element or Compound,,,Emissions/air/unspecified,720ee285-9c3b-438b-9ae1-57d2176fd8e4,,,7440-66-6,
PFC-116,000076-16-4,,"C2F6;Hexafluoroethane;ヘキサフルオロエタン;F116;PFC-116;perfluoroethane;hexafluoroethane;F116;PFC-116,C2F6;Hexafluoroethane;ヘキサフルオロエタン;F116;PFC-116;perfluoroethane;hexafluoroethane;F116;PFC-116",kg,Element or Compound,,,Emissions/air/unspecified,3ac5b93a-9b6d-4c46-aa60-34b7ca80df78,,,,
PFC-14,000075-73-0,,"CF4;Carbon tetrafluoride;テトラフルオロメタン;四フッ化炭素;PFC-14;perfluoromethane;tetrafluoromethane;carbon tetrafluoride;PFC-14,CF4;Carbon tetrafluoride;テトラフルオロメタン;四フッ化炭素;PFC-14;perfluoromethane;tetrafluoromethane;carbon tetrafluoride;PFC-14",kg,Element or Compound,,,Emissions/air/unspecified,e31ac8e4-16de-43b0-9a01-ac88b5257ecc,,,75-73-0,
hydrogen fluoride,007664-39-3,,"HF;フッ化水素酸;HF;hydrogen fluoride;hydrofluoric acid;HF,HF;フッ化水素酸;HF;hydrogen fluoride;hydrofluoric acid;HF",kg,Element or Compound,,,Emissions/air/unspecified,1a7812cf-2df6-4560-98cf-95d7b0550c67,,,37249-79-9; 32057-09-3; 7664-39-3,
hydrocarbons,,,CxHy;hydrocarbons,kg,,,,Emissions/air/unspecified,3d6515f3-f547-46b0-b522-f318b206ecdf,,,,
transpiration_surface water,,,"蒸発散_表層水,evapotranspiration_surface water",m3,,,,Resources/water/consumption,d8c7c8f0-669e-4e56-91a1-f0a61b291865,,,,
transpiration_ground water,,,"蒸発散_地下水,evapotranspiration_ground water",m3,Water,,,Resources/water/consumption,4cbd189d-4d24-4ad6-8395-45cc5515b544,,,,
transpiration rain water,,,"蒸発散_雨水,evapotranspiration_rainwater",m3,Water,,,Resources/water/consumption,2caf1567-ae99-4cf0-b6d5-80dc4d4737e7,,,,
copper,007440-50-8,,,kg,,,,Emissions/air/unspecified,9122d556-45da-4ee5-8766-8d11c02a7841,,,7440-50-8,
cobalt,007440-48-4,,Co;コバルト（資源）;Co reserves;cobalt reserves,kg,Element or Compound,,,Emissions/air/unspecified,83da0fcb-beef-484e-b441-13ca11e19676,,,7440-48-4,
"2,3,7,8-tetrachlorodibenzo-p-dioxin",001746-01-6,,"C12H4Cl4O2;2,3,7,8 - TCDD;2,3,7,8-TCDD;ダイオキシン;2,3,7,8-tetrachlorodibenzo-p-dioxin;2,3,7,8-TCDD;dioxin,C12H4Cl4O2;2,3,7,8 - TCDD;2,3,7,8-TCDD;2,3,7,8-tetrachlorodibenzo-p-dioxin;2,3,7,8-TCDD;dioxin",kg,Element or Compound,,,Emissions/air/unspecified,dc84f008-5e0c-42eb-a222-68d4a6103641,,,114320-51-3; 1746-01-6; 1746-01-6,
CFC-11,000075-69-4,,CCl3F;Trichlorofluoromethane;トリクロロフルオロメタン;フロン11;R-11;CFC-11;trichlorofluoromethane;F-11;R-11,kg,,,,Emissions/air/unspecified,a5cc776b-a2e1-443b-9713-4c5c068e78bb,,,75-69-4; 75-69-4,
CFC-12,000075-71-8,,CCl2F2;Dichlorodifluoromethane;ジクロロジフルオロメタン;CFC-12;dichlorodifluoromethane,kg,,,,Emissions/air/unspecified,3456085c-3e77-4f36-bced-5b66b77ce440,,,75-71-8,
HCFC-22,000075-45-6,,CHClF2;Chlorodifluoromethane;クロロジフルオロメタン;ジフルオロクロロメタン;HCFC-22;chlorodifluoromethane;difluorochloromethane,kg,,,,Emissions/air/unspecified,995725f4-e61d-41b2-9fa5-49b13b8ce508,,,75-45-6,
HFC-125,000354-33-6,,,kg,,,,Emissions/air/unspecified,b7056da1-6096-4bca-bbe6-711c6cf13eb8,,,87458-21-7; 354-33-6,
HFC-152a,000075-37-6,,,kg,,,,Emissions/air/unspecified,6781f7db-4acd-4eff-ae34-78461d202601,,,75-37-6,
HFC-23,000075-46-7,,,kg,,,,Emissions/air/unspecified,25ccfc91-51dd-4d09-b1fd-69b9552bcaf8,,,75-46-7,
HFC-32,000075-10-5,,,kg,,,,Emissions/air/unspecified,b0621b86-3511-47df-b1da-738bae7e0d20,,,2154-59-8; 75-10-5,
arsenic,007440-38-2,,"As;ヒ素;As;arsenic,As;ヒ素;As;arsenic",kg,,,,Emissions/water/unspecified,d5074be9-31b3-4993-a897-39657602b13c,,,7440-38-2,
cadmium,007440-43-9,,"Cd;カドミウム;Cd;cadmium,Cd;カドミウム;Cd;cadmium",kg,,,,Emissions/water/unspecified,7339f3e9-0c2f-4555-89fd-72adc6952464,,,72172-64-6; 81271-94-5; 7440-43-9,
chemical oxygen demand,,,"化学的酸素要求量;chemical oxigen demand,化学的酸素要求量;chemical oxigen demand",kg,,,,Emissions/water/unspecified,c2efa0f1-fd04-4936-9a06-15a389ff14b1,,,,
chromium,007440-47-3,,"Cr;Cr;chromium;chromium reserves,Cr;Cr;chromium;chromium reserves",kg,Element or Compound,,,Emissions/water/unspecified,9b19aab9-5ab6-4897-9217-b4dd6c8056e4,,,19498-56-7; 7440-47-3,
iron,007439-89-6,,"Fe;鉄（資源）;Fe reserves;iron reserves,Fe;鉄（資源）;Fe reserves;iron reserves",kg,Element or Compound,,,Emissions/water/unspecified,33b79d67-0e17-4fbe-8421-24dd05cae1fa,,,8048-10-0; 12597-68-1; 52013-36-2; 7439-89-6,
mercury,007439-97-6,,"Hg;Hg;mercury,Hg;Hg;mercury",kg,Element or Compound,,,Emissions/water/unspecified,94e01579-2982-4b76-80e1-1cd8a51611fd,,,7439-97-6,
manganese,007439-96-5,,"Mn;マンガン（資源）;Mn reserves;manganese reserves,Mn;マンガン（資源）;Mn reserves;manganese reserves",kg,Element or Compound,,,Emissions/water/unspecified,ae18ab14-9b8a-411f-99bb-4f600bf9fad4,,,7439-96-5,
N total,,,"全窒素;t-N;N total;total nitrogen;t-N,t-N;N total;total nitrogen;t-N",kg,Other,,,Emissions/water/unspecified,40f8ed03-7975-4b0e-a7b9-f869a99138bc,,,,
ammonium,014798-03-9,,"NH4+;NH4+;ammonium ion;NH4+,NH4+;NH4+;ammonium ion;NH4+",kg,Element or Compound,,,Emissions/water/unspecified,f9db9ad3-5afe-43ad-a80f-9af614ab11d6,,,6684-80-6; 14158-23-7; 15194-15-7; 14798-03-9,
nickel,007440-02-0,,"Ni;Ni;nickel;Ni,Ni;Ni;nickel;Ni",kg,Element or Compound,,,Emissions/water/unspecified,27e8373a-8e2d-4f26-bc8f-417256001f71,,,21595-53-9; 7440-02-0,
nickel compounds,,,"nickel compounds,nickel compounds",kg,Groups of Chemicals ,,,Emissions/water/unspecified,354865f0-3c87-4599-a7e8-e0ba4263bb86,,,,
oil and grease,,,,kg,Groups of Chemicals ,,,Emissions/water/unspecified,2de3da0f-de8d-4f24-9d9b-78f4e441e02f,,,,
P total,,,"全燐;全リン;t-P;P;P total;total-phosphorus;t-P;P,t-P;P;P total;total-phosphorus;t-P;P",kg,Other,,,Emissions/water/unspecified,c6923ac1-86e5-4f32-978b-274da617afbb,,,,
lead,007439-92-1,,"Pb;鉛;Pb;lead,Pb;鉛;Pb;lead",kg,,,,Emissions/water/unspecified,01417c87-e09b-4bc7-be04-1eb2443c9436,,,14452-81-4; 54076-28-7; 7439-92-1,
suspended solids,,,,kg,,,,Emissions/water/unspecified,fafe9e19-42ca-4272-a262-53bda368a9ee,,,,
zinc,007440-66-6,,"Zn;亜鉛（資源）;Zn reserves;zinc reserves,Zn;亜鉛（資源）;Zn reserves;zinc reserves",kg,Element or Compound,,,Emissions/water/unspecified,678f7e77-4965-417d-9e76-001dfccaaab8,,,7440-66-6,
copper,007440-50-8,,"Cu;銅（資源）;Cu reserves;copper reserves,Cu;銅（資源）;Cu reserves;copper reserves",kg,Element or Compound,,,Emissions/water/unspecified,28612e1d-c10b-4628-8279-7a173ade67d9,,,7440-50-8,
hydrocarbons,,,CxHy;hydrocarbons,kg,Groups of Chemicals ,,,Emissions/water/unspecified,cee6a7a5-2c40-4869-b6e7-ceb728d29ed4,,,,
hydrogen fluoride,007664-39-3,,"HF;フッ化水素酸;HF;hydrogen fluoride;hydrofluoric acid;HF,HF;フッ化水素酸;HF;hydrogen fluoride;hydrofluoric acid;HF",kg,Groups of Chemicals ,,,Emissions/water/unspecified,506f289c-a430-4f54-836a-554ce56e435a,,,37249-79-9; 32057-09-3; 7664-39-3,
sulphuric acid,007664-93-9,,H2SO4;sulphuric acid;sulfuric acid,kg,,,,Emissions/water/unspecified,9511c851-f209-4fc2-98c2-6c24a9ce09a9,,,7664-93-9; 12772-98-4; 7664-93-9,
boron,007440-42-8,,"B;ホウ素（資源）;B reserves;boron reserves,B;ホウ素（資源）;B reserves;boron reserves",kg,,,,Emissions/water/unspecified,ddfb5b83-66a7-47ae-8790-14f3ef97b6e8,,,14798-13-1; 7440-42-8,
treated MSW for landfill,,,,kg,,,,"Emissions/ground/to soil, unspecified",2b15a549-32e6-322e-c4d0-521559f07a32,,,,
treated industrial waste for landfill,,,,kg,,,,"Emissions/ground/to soil, unspecified",1b151549-32e6-382e-b4d0-529529f07a34,,,,
miscellaneous plantation,,,,m2year,,,,Resources/land use/land occupation,4f24563f-4084-4a17-a08c-acf058ea2bcb,,,,
orchard,,,,m2year,,,,Resources/land use/land occupation,ebf9713e-52c0-497a-8682-c04f4f75e1b1,,,,
transport artery,,,,m2year,Land use,,,Resources/land use/land occupation,81802e55-7522-4c5a-b461-e1494a3c2a07,,,,
building site,,,,m2year,Land use,,,Resources/land use/land occupation,005e0302-4691-4d0a-92db-f76439426a6b,,,,
forest,,,,m2year,,,,Resources/land use/land occupation,551b8318-eb94-43cc-9f04-867d5d343282,,,,
rice paddy,,,,m2year,Land use,,,Resources/land use/land occupation,06582458-0894-4188-8073-3157f4aed349,,,,
"arable, except rice paddy",,,,m2year,Land use,,,Resources/land use/land occupation,cef8f248-208e-4770-b740-688691fd9230,,,,
mineral extraction site,,,,m2year,Land use,,,Resources/land use/land occupation,8bad433c-5e64-44d2-ac0e-cc248e26d493,,,,
dump yard,,,,m2year,Land use,,,Resources/land use/land occupation,5b01cd65-f8dd-4f42-ac82-f55d1fb10891,,,,
dump yard,,,,m2,,,,Resources/land use/Land transformation,2b279a54-09ec-4a8f-bccd-e4ef6b7a2d75,,,,
miscellaneous land use type to mineral extraction site,,,,m2,,,,Resources/land use/Land transformation,62366bd4-985c-40f5-802e-4cef341f5bdc,,,,
forest to forest,,,,m2,,,,Resources/land use/Land transformation,e65bbe8b-ac5c-4914-9386-5e404252634a,,,,
forest to transport artery,,,,m2,Land use,,,Resources/land use/Land transformation,b89436cf-443d-49e7-a5f9-6ef78c30a2e0,,,,
forest to rice paddy,,,,m2,Land use,,,Resources/land use/Land transformation,68e2e5ab-e430-4463-9b61-8bdf2b00f12d,,,,
forest to building site,,,,m2,Land use,,,Resources/land use/Land transformation,14c2654a-c3cd-4286-a48c-0ea937910cc1,,,,
forest to orchard,,,,m2,Land use,,,Resources/land use/Land transformation,0aa95b01-c686-4ae2-99d7-76bd4d8077b8,,,,
"forest to arable, except rice paddy",,,,m2,,,,Resources/land use/Land transformation,021139be-8a60-47a1-ac44-0ad4fbac2930,,,,
forest to miscellaneous plantation,,,,m2,Land use,,,Resources/land use/Land transformation,ef015ea7-4b68-4289-bd3e-d5dd61061969,,,,
forest to deforestation areas,,,,m2,Land use,,,Resources/land use/Land transformation,791b7836-e2c4-42fe-a754-a33b6df7e4fc,,,,
"car noise, small car",,,,vehiclekm,,,,Emissions/air/urban air close to ground,0c4bec27-5076-4c0c-be34-7c3db3e81bbf,,,,
"car noise, large car",,,,vehiclekm,Other,,,Emissions/air/urban air close to ground,b0f4dd12-8fcf-457a-9279-09dd35cbba3e,,,,
"car noise, car size unknown",,,,vehiclekm,Other,,,Emissions/air/urban air close to ground,40b3d319-83c8-4e2d-976c-6c50905a508c,,,,
